Daily counts of chum below counting fence. | neutral | 0.6996630430221558
Person Preparing Report: Guy Chiasson, CPV Field Crew: Guy Chiasson % of Spawning Habitat Surveyed: 80% Distribution of Spawning Salmon: Sockeye at falls at 2.9 km, coho at upper half of system to falls, chum at lower half to tide zone. Predators Counted During Surveys: Yes Other Comments (May relate to several species): (20a) Predator counts by date and predator type: Lots of bears on system. (5) General Comments on Escapement Estimation: Coho fry present. No logging in watershed at this time. Not much gravel movement since last year. Most of this watershed has been logged in the past 15 years and reported as this new forest grows this system will get better. | neutral | 0.9210667610168457
Snorkel surveys conducted 2018-09-24 & 2018-10-16. Only two surveys conducted both covering the lowest 2km targeting chum. For additional information see the Canadian Data Report of Fisheries and Aquatic Sciences: 2018 West Coast of Vancouver Island Salmon Extensive Escapement Stream Summary. | neutral | 0.8965319991111755
The Conuma River hatchery crews were the Tlupanna River doing Chinook broodstock removals. | neutral | 0.9590728878974915
Person Preparing Report: C.A. Rieder Distribution of Spawning Salmon: Roughly equal between W.I. Creek North and W.I. Creek South. Salmon Distribution or Predator Interactions: Yes Other Comments (May relate to several species): (20) Predator Interactions: Heavy bear and bird. | neutral | 0.9478009343147278
Snorkel Surveys 2019/09-02, 2019-09-19, 2019-09-28, 2019-10-09, 2019-10-27, 2019-11-04.Likely 2 Chum runs. Early run entering near Sept 1 with peak count on Oct 9; a second, larger run enters the river mid-October, with a peak on October 24th. Rationale is that early run spawned and died before the second run entered the river. The later run observed on October 27 had colouration (bright) suggesting they entered during heavy mid-October rains. Highest concentration of chum hold in the lower half of the surveyed section (97% downstream of Marker 6). Since the 2 peak counts between high water periods are not the same fish, the peak counts may be misleading. Unlike previous years, significant spawning was not observed at Marker 0 (tidally influenced), possibly due to better flow conditions in September and October. | neutral | 0.9132330417633057
Snorkel surveys conducted 2016-09-06; 2016-09-20; 2016-10-03; 2016-10-30; 2016-11-10; 2016-11-18 & 2016-11-27. The survey conducted 2016-11-27 has been excluded from the AUC calculation because it is a late zero count. Constant rainfall throughout the season made surveying challenging. The expanded AUC was selected as the escapement estimate. 2 adult chinook (1 male and 1 female) were removed for broodstock by Tofino Enhancement Society. Full bio-samples were done on 5 chinook; 4 on Oct. 11th and 1 on Nov. 18th. For additional information see the Canadian Data Report of Fisheries and Aquatic Sciences: 2016 West Coast of Vancouver Island Salmon Extensive Escapement Stream Summary. | neutral | 0.897225022315979
Snorkel surveys conducted 2014-09-13; 2014-09-20; 2014-10-01; 2014-10-10; 2014-11-02; 2014-11-11; & 2014-11-20. Poor survey conditions. There was a three week gap in surveys in October due to heavy rains and high water levels. | negative | 0.8658294081687927
Person Preparing Report: L.V.Gordon Other Comments (May relate to several species): (5) General Comments on Escapement Estimation: Not inspected-low priority. | neutral | 0.8545886278152466
Thornton Creek Hatchery enhances coho in this system. On Nov. 15th they removed 30 adult female coho for broodstock. No surveys were conducted on the creek, the 30 fish removed are not representative of the number of fish that spawn here so "Adult Present" has been entered as the escapement estimate. | neutral | 0.6549277305603027
Bank and stream walk surveys conducted 2012-09-25; 2012-10-12 & 2012-10-24. Poor survey conditions due to weather this year, extremely low water levels until October 11th then one storm after another bringing lots of rain along with flood conditions and poor visibility in the rivers. Surveys were targeting chum, no Chinook salmon were observed during the surveys. | negative | 0.8413840532302856
Preliminary Coho Estimate. Surveys conducted Sep 8,17, Oct 2,14,19, Nov 2,13. AUC estimate | neutral | 0.9438748955726624
Snorkel surveys conducted 2014-09-08; 2014-09-23; 2014-09-30; 2014-10-07; 2014-10-15 & 2014-11-12. | neutral | 0.9344668388366699
Snorkel surveys conducted 2015-09-08; 2015-09-17; 2015-09-26; 2015-10-02; 2015-10-08; 2015-10-16; 2015-10-27; 2015-11-03; 2015-11-09; & 2015-12-14. Survey conducted 2015-10-27; 2015-11-03; 2015-11-09; & 2015-12-14 were excluded from AUC calculation because they were late zero counts. Good survey coverage and conditions, Chinook and coho were the targeted species. | neutral | 0.8169583082199097
Steam walk surveys conducted 2011-10-13 & 2011-11-10. Poor survey coverage in 2011. Only two surveys, the raw and expanded PL+D were the same so the raw PL+D was used for the estimate. | negative | 0.7753616571426392
Person Preparing Report: Guy Chiasson, CPV Field Crew: Guy Chiasson % of Spawning Habitat Surveyed: 90% Distribution of Spawning Salmon: Chum to first cascade, coho to dam at 330m. Other Comments (May relate to several species): (5) General Comments on Escapement Estimation: Old unused dam at 330m prevents coho from going any further, passed info and photos to habitat to see if it can be removed or holded. Coho fry present. | neutral | 0.9352033734321594
Person Preparing Report: Garry Dies Enhancement/Biological Activities: Yes Distribution of Spawning Salmon: Distribution density, light. Other Unusual Conditions: Yes Salmon Distribution or Predator Interactions: Yes Other Comments (May relate to several species): (5) General Comments on Escapement Estimation: 4 coho (2 adult pairs) were observed by Graeme Bull from the Quatse River Hatchery, (7) Enhancements: No adult broodstock was taken this year but fry were released. (15) General Comments on Unusual Conditions: See diagram on stream Inspection Log for Sep. 14th. (20) On Predator Interactions: Normal black bear presence. High seal presence. | neutral | 0.9393366575241089
One Survey completed Oct 5.PL+D estimate | neutral | 0.8851218819618225
Surveyrs on the Lower Gold River from the Heber confluence to Pumphouse pool were on 09/09/2022, 22/09/2022, 29/09/2022, 15/10/2022, 18/10/2022 and 09/11/2022. Gold River experienced drought conditions from 09/09/2022 to 24/10/2022. Peak live + dead estimate used for Pink. | neutral | 0.8187314867973328
Person Preparing Report: R. Walker Other Comments (May relate to several species): (5) General Comments on Escapement Estimation: Nov. 20/96 - Would indicate done by helicopter. Comments - nice habitat, good visibility. All fish in lower km. Oct. 11/96 - 2 chinook redds | neutral | 0.702319860458374
Person Preparing Report: L.V. Gorden Debris Torrent: Yes Flood Impacts: Yes Distribution of Spawning Salmon: Hundreds of coho in Draw creek in October. Other Comments (May relate to several species): (14) Flood: Water level extremely high October, and November (10) Debris jams: Debris torrent into lake water turbid all fall (5) General Comments on Escapement Estimation: Information from Thornton creek enhancement society, and CPV/FPV | neutral | 0.9179397225379944
Snorkel surveys conducted 2014-09-17; 2014-09-27; 2014-10-06; 2014-10-16; 2014-11-01; & 2014-11-16. Poor survey conditions in October due to heavy rains and high water conditions. | negative | 0.7622669339179993
Person Preparing Report: David Beggs Other Comments (May relate to several species): (5) General Comments on Escapement Estimation: Not Inspected. | neutral | 0.8433091044425964
Surveys of Draw Creek (main tributary above Maggie River) Sept 30, Nov 2, and Nov 21 targeting the late CO run. | neutral | 0.9523155689239502
A combination of boat, snorkel, bank and stream walks were conducted 2011-10-01; 2011-10-05; 2011-10-20 & 2011-10-27. The surveys were conducted by the Hupacasath First Nation. No Chinook were observed, since the target species was chum, low reliability has been entered for Chinook. | neutral | 0.8893812894821167
Snorkel survey conducted on 2011-10-25. Poor survey coverage for this species. The only survey conducted in 2011 was low reliability. | negative | 0.8999812006950378
Person Preparing Report: Guy Chiasson, CPV Field Crew: Guy Chiasson % of Spawning Habitat Surveyed: 100% Distribution of Spawning Salmon: CHUM TIDE ZONE TO 400 METRES. SOCKEYE, COHO AND CHINOOK 400-700 METRES Salmon Distribution or Predator Interactions: Yes Other Comments (May relate to several species): (5) General Comments on Escapement Estimation: SOCKEYE ESTIMATE BASED ON EXPANDED PEAK LIVE PLUS DEAD. COHO, CHUM AND CHINOOK ESTIMATE BASED ON NEW FISH AND THE SUM % OF NEW FISH FOR EACH NEW VISIT. NO PINK OR STEELHEAD OBSERVED. (20) On Predator Interactions: One bear observed. | neutral | 0.9356034994125366
Person Preparing Report: James Nelson Flood Impacts: Yes Other Comments (May relate to several species): (14) Flood: High rain falls maintained high flow during October. | neutral | 0.941421389579773
Bank walk survey conducted on 2011-10-12. Only one surveys in 2011, poor survey coverage and survey method for this species. No coho were observed during the survey. | negative | 0.796249270439148
Estimate received from Rob Brouwer, Nitinat Hatchery | neutral | 0.9355068802833557
Person Preparing Report: Ross Hickling Distribution of Spawning Salmon: In the lower 1km of stream, chum spawning ends at boulder/cascade section. Sampling Activities or Studies Not Covered Elsewhere: Yes Biosampling Contact: Kent Simpson Biosample Data Loc: Pacific Biological Station - Nanaimo Other Comments (May relate to several species): (2) CM Run 1 Reliability: Excellent visibility. (4) Describe basis for estimating total adults CM Run 1: Observed accumulation. (2) CM Run 2 Reliability: Excellent visibility. (4) Describe basis for estimating total adults CM Run 2: Observed accumulation. (5) General Comments on Escapement Estimation: In this habitat section in one holding pool and a few other spots for coho; however, none observed. Assume that this run is later than November. (21) Other Sampling Activities or Studies: "Coho Juvenile Depletion Study" - September 1998. Crew Chief: Ross Hickling. | neutral | 0.927831768989563
Snorkel surveys conducted 2015-09-14; 2015-10-01; 2015-10-24; and 2015-11-05. Sockeye were seen on three of the four surveys and one of the surveys was rated "Fair" so the "Expanded PL+D" was used as the escapement estimate. | neutral | 0.8741079568862915
Bank & stream walk conducted 2014-09-29. Only one survey done in 2014. No Chum were observed. | neutral | 0.8645470142364502
Data was reviewed February 2009 by Jeff Till. Total escapement estimate from 1996 PSARC Abundance Forecast report. Swim-in nos from 1996 PSARC Abundance Forecast report. Broodstock nos. from OHEB Escapement Database and direct from Robertson Creek Hatchery data review in 2006. Estimates include: count from Robertson Creek Hatchery swim-ins (19k) + estimate of natural spawners (75k) from mark recapture on carcasses. 0 Jimmies observed. | neutral | 0.940139889717102
Snorkel surreys conducted 2015-09-27 & 2015-11-19. The survey conditions were excellent but the coverage was poor, only two surveys in 2015. Only 4 adult Chinook were observed, so Adults Present" has been used as the escapement estimate. | negative | 0.5113167762756348
Snorkel surveys conducted 2017-09-22; 2017-09-26; 2017-10-23 & 2017-10-30. The Expanded AUC was used as the escapement estimate. For additional information see the Canadian Data Report of Fisheries and Aquatic Sciences: 2017 West Coast of Vancouver Island Salmon Extensive Escapement Stream Summary. | neutral | 0.9588518142700195
Hatchery staff and local First Nations conducted bank walks, stream walks and boat surveys of the estuaries in the lower river to estimated chum escapement only. Nitinat Hatchery staff estimate roughly 1,000 chums returned to Caycuse River. | neutral | 0.9492647647857666
Bank walk surveys conduted 02/09/2019, 10/03/10/2019, 24/10/2019 Snorkel survey conducted 10/10/2019 Drone survey 09/23/2019, Seine survey 09/25/2019, 09/27/2019. Poor survey coverage (1-3 segments per survey). Peak live + dead used. No sockeye observed. | negative | 0.6696231961250305
Snorkel surveys conducted 2016-09-23 & 2016-10-30. Poor survey conditions and survey coverage in 2016. River was in flood during surveys. No sockeye were observed. For additional information see the Canadian Data Report of Fisheries and Aquatic Sciences: 2016 West Coast of Vancouver Island Salmon Extensive Escapement Stream Summary. | negative | 0.7727217674255371
Somass system data reviewed February & March 2006. Poor survey coverage, only one snorkel survey Nov. 1st. The number of coho observed on the survey was not representative of the coho escapement so "Adult Present" has been entered as the escapement estimate. | negative | 0.7822598218917847
Daily enumeration of chum below the counting fence. | neutral | 0.7957150340080261
Bank walks and boat surveys conducted 2014-09-18; 2014-09-25; 2014-10-06; & 2014-10-16. Poor survey conditions this year, only 1 coho was observed in each of the October surveys, so "Adult Present" has been entered as the escapement estimate. 162 coho fry and 57 coho smolts were observed in the fisrt survey. | negative | 0.6279531121253967
Surveyed by TCES. Peak of 176 on Sept 14. No AUC on jacks. Estimates include Bedwell and Ursus rivers. | neutral | 0.9404881596565247
3 bank walk surveys were conducted by Thornton Creek Enhancement Society on 2002-10-09; 2002-10-19; 2002-11-06. SIL's were not submitted to StAD for entry into nuSEDs and the BC16 was completed by Richie Smith from TCES. Very low water levels in October and heavy rains in November created several slides causing heavy siltation throughout the entire creek. Lots of bear, seal and sealion predation. Hatchery raised fish. 80 adults (40F and 40M) were removed for broodstock. | neutral | 0.8333331942558289
Upper and lower river snorkel surveys were conducted on 2020-08-25; 2020-09-10; 2020-09-18; 2020-10-01; 2020-10-08; 2020-10-21 & 2020-11-09. Helicopter surveys were conducted 2020-10-17 & 2020-10-27, they were excluded from the estimate calculation due to different survey method. Additional surveys include a partial survey from the lake to Sturgeon Pool (approx. 1,500m) on October 27th and a drone survey at the mouth the Nitinat River on Oct 26 which targeted chum salmon. Sockeye were observed only once in the upper Nitinat River October 21st. The expanded PL+D was used as the escapement estimate. For additional information see the Canadian Data Report of Fisheries and Aquatic Sciences: 2020 West Coast of Vancouver Island Salmon Extensive Escapement Stream Summary. | neutral | 0.9217410683631897
Stream walk conducted 2015-11-09. Poor survey coverage and survey conditions. Only one survey in 2015, the water was turbid and tea coloured which made it difficult to count fish. Six live and one dead coho were observed so "Adult Present" was selected as the escapement estimate. | negative | 0.8300619125366211
Snorkel surveys conducted 2013-09-13; 2013-09-23; 2013-10-03; 2013-10-11; 2013-10-23; 2013-10-31; 2013-11-08 & 2013-11-18. No pinks observed during surveys in 2013. | neutral | 0.8810609579086304
Bank and stream walk surveys conducted 2012-09-26; 2012-10-13 & 2012-10-23. Poor survey conditions due to weather this year, extremely low water levels until October 11th then one storm after another bringing lots of rain along with flood conditions and poor visibility in the rivers. Surveys were targeting chum, fifteenr coho were observed during the last survey but this is not representative of the coho population so Adult Present has been entered as the escapement estimate. | negative | 0.801607072353363
Stream walk and snorkel survey conducted 2015-09-18. Excellent survey conditions but poor survey coverage. Only one survey was done in 2015, all species of salmon were seen. Based on SK observations in adjacent systems, a significant portion of the SK should have been present. | negative | 0.6029608249664307
Stream walks conducted 2016-10-26; 2016-11-09; 2016-11-16; 2016-11-23; 2016-11-30; 2016-12-07 & 2016-12-14. Surveys conducted 2016-12-07 & 2016-12-14 have been excluded from the AUC calculation because they are late zero counts. Poor fish visibility due to high water levels along with muddy and turbid water conditions throughout November. The expanded PL+D was used for the escapement estimate. For additional information see the Canadian Data Report of Fisheries and Aquatic Sciences: 2016 West Coast of Vancouver Island Salmon Extensive Escapement Stream Summary. | neutral | 0.6507591605186462
Stream walks were conducted 2017-10-04; 2017-10-10; 2017-10-17; 2017-10-25; 2017-10-31; 2017-11-07; 2017-11-23; 2017-12-08 & 2017-12-13. Four small creeks were surveyed in English Cove. No chum were observed. For additional information see the Canadian Data Report of Fisheries and Aquatic Sciences: 2017 West Coast of Vancouver Island Salmon Extensive Escapement Stream Summary. | neutral | 0.9402783513069153
BC16 completed by Richard Smith with the Thornton Creek Enhancement Society. Estimates reviewed by WCVI Escapement Co-ordinator Seaton Taylor. Only 2 surveys conducted this year in October and water conditions were muddy and turbid. Harbour seals and sealions reported as predators. | neutral | 0.6527100205421448
Snorkle surveys were conducted on 31/08/2021, 22/09/2021, and 12/10/2021. Spot surveys were conducted by Conuma Hatchery on 25/08/2021, 02/09/2021, 08/09/2021, and 13/09/2021. High water events starting in early september prohibited additional surveys throuhgout September and Ocotober. Expanded AUC estimate used for Chinook. | neutral | 0.8860629796981812
Conuma River hatchery staff conducted 3 snorkel surveys and noted "One estimate at peak 800 to 1,000 fish in the river. Also present sockeye and coho. No eggs taken due to new chum production strategy; 500,000 Conuma chum to be transplanted as fry to supplement the Sucwoa chum." The hatchery estimated 800 adult chum for the escapement estimate and did not provide the dates that the swims occurred or the method for the escapement estimate. | neutral | 0.8327195644378662
Snorkel surveys conducted 2011-09-12; 2011-09-20; 2011-10-01; 2011-10-10; 2011-10-16 & 2011-12-05. | neutral | 0.9350687861442566
Person Preparing Report: Guy Chiasson, CPV Field Crew: Guy Chiasson Distribution of Spawning Salmon: Sockeye- at cascades at 1.9 km, coho - from 1 to 3 km, chum - tide to 1-9 km, chinook-at 1.9 km. Other Comments (May relate to several species): (5) General Comments on Escapement Estimation: In dry times section from 0.5 to 1.5 km flows subgrade. Have never found adult or fry salmon above the cascades at 3.1 km. Local band took 500+ chum from the tide zone of this system, unknown number of coho. Coho fry from 3.1 km to above tide zone .Coho fry survey 1996, 1997,1998,1999 and 2000. | neutral | 0.9000154137611389
Snorkel surveys conducted 2013-09-09; 2013-09-18; 2013-09-26; 2013-10-08; 2013-10-15; 2013-10-24; 2013-10-31 and a stream walk was conducted 2013-11-24. Surveys conducted 2013-10-24; 2013-10-31 & 2013-11-24 excluded from AUC calculation because they were late zero counts. | neutral | 0.9173538088798523
Ditidaht first nation ran fence from April to June 19. The total count for sockeye was 154. None was observed on Oct.31st survey. | neutral | 0.9113300442695618
Person Preparing Report: Garry Deis Other Comments (May relate to several species): (5) General Comments on Escapement Estimation: System was inspected on November 1st by vehicle for spot checks. Checked at Estuary (Park trail along side system), and at 13 other locations. Inspection was more for condition of system then for spawning salmon count. Although chum were in upper tidal portions of Estuary; numbers unknown. Coho number from Jeff Masher, Cordy Creek Hatchery. | neutral | 0.9394256472587585
Stream Walk Survey 2019-11-04. Poor survey coverage. System is not standardized for surveyed sections yet. No Sockeye observed. Since only one SIL, there is insufficient information for an estimate. | negative | 0.8705970048904419
Person Preparing Report: Rick Ferguson, StAD (250) 756-7006 Enhancement/Biological Activities: Yes Supplementary Docs: Yes Other Comments (May relate to several species): (5) General Comments on Escapement Estimation: Detailed information for each inspection available from Stock Assessment Division. Broodstock figure includes all fish removals from system, not just those used for brood. Due to a barrier near the bottom of this system it is believed the chum do not use this system as they are unable to migrate upstream. However, there were chum observed in the estuary and for this reason the code use for the estimate is Adults Present. (22) List Supplementary Documentation: BC16 originally prepared by Bruce A. Patten, StAD; reviewed by Rick Ferguson April 2000. | neutral | 0.9315876960754395
Person Preparing Report: Guy Chiasson, CPV Field Crew: Guy Chiasson Other Comments (May relate to several species): (5) General Comments on Escapement Estimation: Coho fry present. Local community hatchery doing a small project on this system on Chinook and coho. New side channel constructed this year. Very silty bottom. Will need high water to flush it out .19cm observed Nov.01. Channel is narrow and shallow - fish will be variable to bear predation and possible freezing. | neutral | 0.9272854328155518
Snorkel surveys conducted 2014-07-15; 2014-07-30; 2014-09-26; 2014-10-03; 2014-10-10; 2014-10-15; 2014-10-24; 2014-10-31; & 2014-11-10. Heavy rains and high water levels in October created poor and dangerous survey conditions. Tags applied to sockeye 2014-10-02, 2014-10-08, and 2014-10-09 were used to estimate survey life. Because fish observed during surveys conducted 2014-07-15 & 2014-07-30 were not tagged, they were not included in AUC estimate using the estimated survey life, but the peak observed was added to the AUC total to arrive at final estimate. | neutral | 0.4931361675262451
Population not fully inspected. 8 inspections but only 1 during CN run timing. Observed # fish = 2 dead No field expansion | negative | 0.7292759418487549
Surveys by DFO and Al Eden & Assoc. Two apparent run/spawner pulses. PL+D was 72 on Sept 29. | neutral | 0.9312568306922913
Person Preparing Report: Rick Ferguson, StAD (250) 756-7006 Field Crew: River Run Bio Ltd. % of Spawning Habitat Surveyed: 100% Supplementary Docs: Yes Other Comments (May relate to several species): (5) General Comments on Escapement Estimation: Poor survey coverage, only one visit to this stream. Expanded Peak-Live-plus-Dead Values used to calculate chum escapement estimate. Detailed information for each inspection available from Stock Assessment Division. (22) List Supplementary Documentation: BC16 originally prepared by Brenda Wright, StAD; reviewed by Rick Ferguson May 2000. | neutral | 0.8862869739532471
Person Preparing Report: Bruce A. Patten StAD (250) 756-7006 Field Crew: WCVI Snorkel Crew Other Comments (May relate to several species): (5) General Comments on Escapement Estimation: Observations of system are fishway counts conducted at Great Central Lake, Stamp Falls, and Sproat River. Sockeye counts from electronic counters on Sproat River (June - October,) and Great Central Lake (June - September. Sockeye, chinook, coho, steelhead counts from Stamp Falls fishway observations (September - November) fishway daily counts available from Stock Assessment Division. Inspections inn lower river not conducted; therefore chum, pink, coho, chinook in this area not observed and not encluded in estimates. Coho and steelhead counts are incomplete (they include Stamp Falls unadjusted counts only.) | neutral | 0.9285358190536499
Snorkel surveys conducted 2015-09-11 & 2015-11-23. Poor survey coverage, only two surveys spread out in 2015. Excellent survey conditions for both surveys. The "Expanded PL+D" was selected as the escapement estimate. | neutral | 0.4514729678630829
Snorkel surveys conducted 2013-10-09 & 2013-10-23. Poor survey coverage and timing for sockeye, only two surveys targeting chum. Adults Present has been entered as the escapement estimate. | negative | 0.8598630428314209
Snorkel surveys conducted 2015-09-03; 2015-09-10; 2015-09-18; 2015-10-02; 2015-10-07; 2015-10-14; 2015-10-21; 215-10-27; 2015-10-28; & 2015-11-05. Good survey coverage and conditions throughout the survey season. 38 Chinook bio-sampled. | positive | 0.7058473229408264
Snorkel survey 2011-11-03. Low reliability, no sockeye observed. | negative | 0.7750263214111328
Person Preparing Report: Rick Ferguson, StAD (250) 756-7006 Field Crew: River Run Bio Ltd. Supplementary Docs: Yes Other Comments (May relate to several species): (5) General Comments on Escapement Estimation: Poor survey coverage, only one surveys this year. Expanded Peak-Live-plus-Dead Values used to calculate escapement estimate. Detailed information for each inspection available from Stock Assessment Division. (22) List Supplementary Documentation: BC16 originally prepared by Brenda Wright, StAD; reviewed by Rick Ferguson May 2000. | neutral | 0.8581673502922058
Person Preparing Report: Rick Ferguson, StAD (250) 756-7006 Field Crew: River Run Bio Ltd. Enhancement/Biological Activities: Yes % of Spawning Habitat Surveyed: 100% Salmon Distribution or Predator Interactions: Yes Sampling Activities or Studies Not Covered Elsewhere: Yes Biosampling Contact: DFO HEB, PCAD, StAD Biosample Data Loc: DFO Pacific Region Headquarters & PBS Supplementary Docs: Yes Other Comments (May relate to several species): (1) Other methods: Testfishing estimates provided by Paddy Harrison (Midnight Raider) (5) General Comments on Escapement Estimation: Escapement estimation was a combined effort of Nitinat Hatchery staff (removals from system, snorkel surveys, and test fishing) and Stock Assessment Division (snorkle surveys). StAD AUC (area-under-the-curve) calculations based on middle expanded values. Estimated Total Adults + Broodstock Figures = Total Escapement. Detailed information for each inspection available from Stock Assessment Division. Broodstock figure includes all fish removals from system, not just those used for brood. Additional inspections: Oct/7, Oct/8, Nov/1, Nov/2, Nov/16 (7) Enhancements: Nitinat River Hatchery enhances chinook, chum, coho, and steelhead on this system. (20) On Predator Interactions: Black bears and eagles present during fall spawn but not enumerated. (21) Other Sampling Activities or Studies: In addition to annual Hatchery PCAD (Program Coordination and Assessment Division) sampling requirements, additional sampling was initiated by Wilf Luedke from South Caost Salmon section of StAD (Stock Assessment Division). Contract work was carried out by River Run Bio Ltd. Under the coordinated direction of Nitinat Hatchery and Wilf Luedke. (22) List Supplementary Documentation: BC16 originally prepared by Bruce A. Patten, StAD and Erica Blake, Nitinat River Hatchery; reviewed by Rick Ferguson April 2000. | na | nan
Other Comments (May relate to several species): (5) General Comments on Escapement Estimation: Enumeration and enhancement (hatchery): Huu-ay-aht First Nation | neutral | 0.9379009008407593
Somass system data reviewed February through March 2006. In 1992 there was a blank BC16 with Cherry Creek on it. So "Not Inspected" has been entered as the escapement estimate. The Cherry Creek Enhancement Society is active in this creek, their main focus is habitat restoration and coho assessment. The society and students operate a downstream fence to provide data for stock assessment in the spring. Their first year of operation doing habitat improvements, juvenile assessment and providing education was 1992. Contact School District 70 in Port Alberni for more information. Juvenile chum and adult coho and chum are not assessed. | neutral | 0.8976106643676758
Snorkel surveys conducted 2017-09-08; 2017-09-22; 2017-09-27; 2017-10-05; 2017-10-14; 2015-10-26 & 2017-11-02. One pink was observed on the Sept. 27th survey so Adult Present was entered as the escapement estimate. For additional information see the Canadian Data Report of Fisheries and Aquatic Sciences: 2017 West Coast of Vancouver Island Salmon Extensive Escapement Stream Summary. | neutral | 0.9298719167709351
Stream walk conducted 2014-10-19. Poor survey coverage, only one survey in 2014. Survey conditions and fish visibility was low due to heavy rains and high water events in October. Survey timing was good for chum, both live and dead chum were observed, the expanded PL+D was used as the escapement estimate. | negative | 0.6148485541343689
